seller_id,product_name,product_id,buyer_id,product_rating,product_price
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,164,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,297,4.9,189000
65,6 pasang Cangkir Set Motif Burung Bertengger - Cangkir Kopi - Teh,10301,439,4.9,189000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,93,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,171,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,196,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,133,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,324,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,205,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,384,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,446,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,428,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,2,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,144,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,201,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,80,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,475,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,97,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,427,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,55,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,83,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,479,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,12,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,60,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,340,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,50,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,445,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,97,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,283,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,279,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,119,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,121,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,264,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,313,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,2,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,375,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,343,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,111,5.0,50000
222,Silicone Kitchen Tongs Panjang / Capitan 32cm - Gagang Silver,11949,370,5.0,50000
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,407,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,262,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,422,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,354,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,157,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,33,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,170,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,360,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,161,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,191,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,7,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,274,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,45,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,20,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,295,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,464,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,79,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,150,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,300,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,342,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,228,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,344,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,41,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,220,No Rating,17900
1133,"Hanger ,kapstock dinding plastik GB-1 lion star gantungan multiguna",11301,405,No Rating,17900
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,36,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,314,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,191,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,495,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,213,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,414,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,149,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,378,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,351,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,387,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,57,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,467,5.0,89500
801,teko siul 3lt regoleto promo/ ceret bunyi,11201,433,5.0,89500
1105,Forbake FB53111 - Measuring Spoon Plastic Set 5pcs Pink / Sendok Takar,12285,322,5.0,35000
